#,RefDes,Value,Name,Quantity
1,C1,4u7,CAP_0805,1
2,C2,18pF,CAP_0805,1
3,C3,4u7,CAP_0805,1
4,J1,,1986717-3,1
5,L1,2.2uH VLF4012AT-2R2M1R5,,1
6,R1,909K,RES_0805,1
7,R2,200K,RES_0805,1
8,U1,NCP1522B,NCP1522B,1
,,,,8
